DATE,NR,WORD
19/06/21,1,cigar
20/06/21,2,rebut
21/06/21,3,sissy
22/06/21,4,humph
23/06/21,5,awake
24/06/21,6,blush
25/06/21,7,focal
26/06/21,8,evade
27/06/21,9,naval
28/06/21,10,serve
29/06/21,11,heath
30/06/21,12,dwarf
01/07/21,13,model
02/07/21,14,karma
03/07/21,15,stink
04/07/21,16,grade
05/07/21,17,quiet
06/07/21,18,bench
07/07/21,19,abate
08/07/21,20,feign
09/07/21,21,major
10/07/21,22,death
11/07/21,23,fresh
12/07/21,24,crust
13/07/21,25,stool
14/07/21,26,colon
15/07/21,27,abase
16/07/21,28,marry
17/07/21,29,react
18/07/21,30,batty
19/07/21,31,pride
20/07/21,32,floss
21/07/21,33,helix
22/07/21,34,croak
23/07/21,35,staff
24/07/21,36,paper
25/07/21,37,unfed
26/07/21,38,whelp
27/07/21,39,trawl
28/07/21,40,outdo
29/07/21,41,adobe
30/07/21,42,crazy
31/07/21,43,sower
01/08/21,44,repay
02/08/21,45,digit
03/08/21,46,crate
04/08/21,47,cluck
05/08/21,48,spike
06/08/21,49,mimic
07/08/21,50,pound
08/08/21,51,maxim
09/08/21,52,linen
10/08/21,53,unmet
11/08/21,54,flesh
12/08/21,55,booby
13/08/21,56,forth
14/08/21,57,first
15/08/21,58,stand
16/08/21,59,belly
17/08/21,60,ivory
18/08/21,61,seedy
19/08/21,62,print
20/08/21,63,yearn
21/08/21,64,drain
22/08/21,65,bribe
23/08/21,66,stout
24/08/21,67,panel
25/08/21,68,crass
26/08/21,69,flume
27/08/21,70,offal
28/08/21,71,agree
29/08/21,72,error
30/08/21,73,swirl
31/08/21,74,argue
01/09/21,75,bleed
02/09/21,76,delta
03/09/21,77,flick
04/09/21,78,totem
05/09/21,79,wooer
06/09/21,80,front
07/09/21,81,shrub
08/09/21,82,parry
09/09/21,83,biome
10/09/21,84,lapel
11/09/21,85,start
12/09/21,86,greet
13/09/21,87,goner
14/09/21,88,golem
15/09/21,89,lusty
16/09/21,90,loopy
17/09/21,91,round
18/09/21,92,audit
19/09/21,93,lying
20/09/21,94,gamma
21/09/21,95,labor
22/09/21,96,islet
23/09/21,97,civic
24/09/21,98,forge
25/09/21,99,corny
26/09/21,100,moult
27/09/21,101,basic
28/09/21,102,salad
29/09/21,103,agate
30/09/21,104,spicy
01/10/21,105,spray
02/10/21,106,essay
03/10/21,107,fjord
04/10/21,108,spend
05/10/21,109,kebab
06/10/21,110,guild
07/10/21,111,aback
08/10/21,112,motor
09/10/21,113,alone
10/10/21,114,hatch
11/10/21,115,hyper
12/10/21,116,thumb
13/10/21,117,dowry
14/10/21,118,ought
15/10/21,119,belch
16/10/21,120,dutch
17/10/21,121,pilot
18/10/21,122,tweed
19/10/21,123,comet
20/10/21,124,jaunt
21/10/21,125,enema
22/10/21,126,steed
23/10/21,127,abyss
24/10/21,128,growl
25/10/21,129,fling
26/10/21,130,dozen
27/10/21,131,boozy
28/10/21,132,erode
29/10/21,133,world
30/10/21,134,gouge
31/10/21,135,click
01/11/21,136,briar
02/11/21,137,great
03/11/21,138,altar
04/11/21,139,pulpy
05/11/21,140,blurt
06/11/21,141,coast
07/11/21,142,duchy
08/11/21,143,groin
09/11/21,144,fixer
10/11/21,145,group
11/11/21,146,rogue
12/11/21,147,badly
13/11/21,148,smart
14/11/21,149,pithy
15/11/21,150,gaudy
16/11/21,151,chill
17/11/21,152,heron
18/11/21,153,vodka
19/11/21,154,finer
20/11/21,155,surer
21/11/21,156,radio
22/11/21,157,rouge
23/11/21,158,perch
24/11/21,159,retch
25/11/21,160,wrote
26/11/21,161,clock
27/11/21,162,tilde
